IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
143.47.177.255,443,443,true,FRA,Europe,DE,Frankfurt,327,6.62
141.147.81.158,443,443,true,CDG,Europe,FR,Paris,278,6.62
144.21.56.38,443,443,true,VIE,Europe,AT,Vienna,177,6.60
143.47.243.144,8443,443,true,LHR,Europe,GB,London,216,6.60
89.168.120.190,443,443,true,FRA,Europe,DE,Frankfurt,252,6.60
140.238.82.181,443,443,true,CDG,Europe,FR,Paris,253,6.59
158.101.202.232,443,443,true,FRA,Europe,DE,Frankfurt,184,6.59
164.152.26.70,2086,443,true,ORD,North America,US,Chicago,213,6.58
152.70.187.43,443,443,true,FRA,Europe,DE,Frankfurt,227,6.58
79.76.97.31,443,443,true,FRA,Europe,DE,Frankfurt,300,6.57
141.147.92.191,443,443,true,FRA,Europe,DE,Frankfurt,295,6.57
143.47.243.144,2053,443,true,LHR,Europe,GB,London,224,6.56
141.147.92.141,443,443,true,FRA,Europe,DE,Frankfurt,333,6.54
140.238.81.44,443,443,true,FRA,Europe,DE,Frankfurt,462,6.53
84.8.155.77,443,443,true,CDG,Europe,FR,Paris,494,6.53
143.47.228.164,443,443,true,FRA,Europe,DE,Frankfurt,320,6.53
193.123.38.72,443,443,true,FRA,Europe,DE,Frankfurt,417,6.53
141.148.236.80,443,443,true,FRA,Europe,DE,Frankfurt,306,6.52
130.162.251.218,443,443,true,CDG,Europe,FR,Paris,319,6.51
158.180.28.107,443,443,true,FRA,Europe,DE,Frankfurt,262,6.49
138.2.151.57,443,443,true,CDG,Europe,FR,Paris,249,6.49
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,329,6.47
143.47.181.180,443,443,true,FRA,Europe,DE,Frankfurt,303,6.47
143.47.180.158,443,443,true,FRA,Europe,DE,Frankfurt,309,6.47
143.47.183.146,443,443,true,CDG,Europe,FR,Paris,195,6.45
158.101.214.162,443,443,true,FRA,Europe,DE,Frankfurt,339,6.43
152.70.62.169,443,443,true,FRA,Europe,DE,Frankfurt,307,6.41
79.72.71.33,443,443,true,FRA,Europe,DE,Frankfurt,400,6.41
84.235.175.21,443,443,true,FRA,Europe,DE,Frankfurt,321,6.39
158.101.181.88,443,443,true,FRA,Europe,DE,Frankfurt,342,6.39
143.47.188.79,443,443,true,FRA,Europe,DE,Frankfurt,184,6.39
143.47.188.243,443,443,true,FRA,Europe,DE,Frankfurt,199,6.38
84.8.148.103,443,443,true,FRA,Europe,DE,Frankfurt,334,6.37
158.101.209.49,443,443,true,FRA,Europe,DE,Frankfurt,423,6.37
158.178.145.7,443,443,true,CDG,Europe,FR,Paris,316,6.37
143.47.241.208,443,443,true,CDG,Europe,FR,Paris,206,6.36
158.178.153.150,443,443,true,FRA,Europe,DE,Frankfurt,302,6.36
141.148.239.209,443,443,true,FRA,Europe,DE,Frankfurt,314,6.36
141.148.229.79,443,443,true,FRA,Europe,DE,Frankfurt,247,6.34
89.168.72.191,443,443,true,FRA,Europe,DE,Frankfurt,262,6.30
141.148.230.17,443,443,true,FRA,Europe,DE,Frankfurt,321,6.30
158.101.217.4,443,443,true,FRA,Europe,DE,Frankfurt,332,6.30
143.47.188.133,443,443,true,FRA,Europe,DE,Frankfurt,238,6.29
130.162.174.91,443,443,true,FRA,Europe,DE,Frankfurt,354,6.28
158.178.145.66,443,443,true,FRA,Europe,DE,Frankfurt,309,6.28
158.180.24.239,443,443,true,FRA,Europe,DE,Frankfurt,269,6.28
143.47.225.238,443,443,true,FRA,Europe,DE,Frankfurt,316,6.27
168.138.165.174,443,443,true,SIN,Asia Pacific,SG,Singapore,69,6.25
144.21.37.202,443,443,true,FRA,Europe,DE,Frankfurt,218,6.23
79.72.86.77,443,443,true,FRA,Europe,DE,Frankfurt,245,6.23
141.147.118.102,443,443,true,FRA,Europe,DE,Frankfurt,272,6.23
158.101.192.193,443,443,true,FRA,Europe,DE,Frankfurt,290,6.22
