IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.73.58,443,443,true,FRA,Europe,Frankfurt,230,7.91
158.101.222.103,443,443,true,FRA,Europe,Frankfurt,365,7.90
130.162.176.220,443,443,true,FRA,Europe,Frankfurt,305,7.89
130.162.217.169,443,443,true,FRA,Europe,Frankfurt,275,7.86
150.230.120.32,443,443,true,FRA,Europe,Frankfurt,313,7.85
164.152.26.70,2052,443,true,ORD,North America,Chicago,311,7.84
138.2.131.38,443,443,true,FRA,Europe,Frankfurt,312,7.79
141.144.205.13,443,443,true,FRA,Europe,Frankfurt,332,7.78
138.2.167.102,443,443,true,FRA,Europe,Frankfurt,423,7.73
79.72.85.127,443,443,true,FRA,Europe,Frankfurt,219,7.71
150.230.150.90,443,443,true,FRA,Europe,Frankfurt,340,7.71
144.21.39.45,443,443,true,FRA,Europe,Frankfurt,294,7.71
158.101.201.217,443,443,true,FRA,Europe,Frankfurt,305,7.68
89.168.95.102,443,443,true,FRA,Europe,Frankfurt,245,7.68
141.147.84.8,443,443,true,FRA,Europe,Frankfurt,354,7.68
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,252,7.67
144.21.62.226,443,443,true,FRA,Europe,Frankfurt,274,7.67
132.145.224.254,443,443,true,FRA,Europe,Frankfurt,183,7.65
130.162.160.11,443,443,true,FRA,Europe,Frankfurt,252,7.64
84.8.155.155,443,443,true,FRA,Europe,Frankfurt,300,7.63
158.101.204.207,443,443,true,FRA,Europe,Frankfurt,408,7.63
138.2.132.140,443,443,true,FRA,Europe,Frankfurt,371,7.63
141.144.239.9,443,443,true,FRA,Europe,Frankfurt,207,7.61
152.70.51.180,443,443,true,FRA,Europe,Frankfurt,270,7.60
130.61.181.61,2096,443,true,FRA,Europe,Frankfurt,265,7.59
204.216.105.106,8443,8443,true,YUL,North America,Montréal,299,7.57
152.70.51.171,443,443,true,FRA,Europe,Frankfurt,352,7.57
130.162.182.142,443,443,true,FRA,Europe,Frankfurt,299,7.57
130.162.245.61,443,443,true,FRA,Europe,Frankfurt,278,7.56
158.101.223.124,443,443,true,FRA,Europe,Frankfurt,229,7.48
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,234,7.47
143.47.235.234,443,443,true,FRA,Europe,Frankfurt,233,7.45
141.147.26.44,443,443,true,FRA,Europe,Frankfurt,431,7.45
79.72.92.181,443,443,true,FRA,Europe,Frankfurt,317,7.44
130.61.181.61,2053,443,true,FRA,Europe,Frankfurt,289,7.44
141.147.98.8,443,443,true,FRA,Europe,Frankfurt,268,7.41
158.180.51.4,443,443,true,FRA,Europe,Frankfurt,243,7.41
130.162.178.167,443,443,true,FRA,Europe,Frankfurt,290,7.39
152.70.49.163,443,443,true,FRA,Europe,Frankfurt,340,7.38
192.9.137.193,8443,443,true,SJC,North America,San Jose,366,7.36
152.70.49.31,443,443,true,FRA,Europe,Frankfurt,322,7.34
138.2.173.180,443,443,true,FRA,Europe,Frankfurt,418,7.34
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,293,7.28
144.21.33.114,443,443,true,FRA,Europe,Frankfurt,345,7.24
130.162.176.66,443,443,true,FRA,Europe,Frankfurt,299,7.24
144.21.40.78,443,443,true,FRA,Europe,Frankfurt,347,7.24
141.144.201.38,443,443,true,FRA,Europe,Frankfurt,261,7.22
89.168.107.176,443,443,true,FRA,Europe,Frankfurt,241,7.20
158.180.52.199,443,443,true,FRA,Europe,Frankfurt,222,7.18
138.2.151.162,443,443,true,FRA,Europe,Frankfurt,318,7.16
130.162.226.178,443,443,true,FRA,Europe,Frankfurt,299,7.15
130.162.181.186,443,443,true,FRA,Europe,Frankfurt,191,7.14
193.123.56.44,443,443,true,FRA,Europe,Frankfurt,341,7.07
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,356,7.06
68.233.127.163,8443,443,true,YYZ,North America,Toronto,344,7.06
143.47.236.68,443,443,true,FRA,Europe,Frankfurt,341,7.02
164.152.26.70,2086,443,true,ORD,North America,Chicago,286,7.00
152.67.139.232,443,443,true,FRA,Europe,Frankfurt,448,6.99
132.226.206.200,443,443,true,FRA,Europe,Frankfurt,185,6.99
150.230.21.187,443,443,true,FRA,Europe,Frankfurt,335,6.98
144.21.37.87,443,443,true,FRA,Europe,Frankfurt,348,6.96
40.233.70.7,8443,443,true,YYZ,North America,Toronto,330,6.90
144.21.54.44,443,443,true,FRA,Europe,Frankfurt,349,6.90
143.47.181.5,443,443,true,FRA,Europe,Frankfurt,298,6.86
143.47.225.215,443,443,true,FRA,Europe,Frankfurt,202,6.83
158.178.148.233,443,443,true,FRA,Europe,Frankfurt,424,6.81
158.178.153.80,2096,443,true,AMS,Europe,Amsterdam,294,6.81
144.24.190.174,443,443,true,FRA,Europe,Frankfurt,296,6.78
130.162.176.253,443,443,true,FRA,Europe,Frankfurt,253,6.76
131.186.22.123,443,443,true,ICN,Asia Pacific,Seoul,310,6.76
143.47.184.162,443,443,true,FRA,Europe,Frankfurt,199,6.75
144.24.175.22,443,443,true,FRA,Europe,Frankfurt,312,6.72
164.152.17.14,443,443,true,ORD,North America,Chicago,362,6.72
79.72.68.60,443,443,true,FRA,Europe,Frankfurt,193,6.70
158.101.217.205,443,443,true,FRA,Europe,Frankfurt,276,6.58
192.9.158.188,443,443,true,SJC,North America,San Jose,255,6.57
141.147.18.103,443,443,true,FRA,Europe,Frankfurt,346,6.54
84.8.147.200,443,443,true,FRA,Europe,Frankfurt,313,6.52
141.147.91.173,443,443,true,FRA,Europe,Frankfurt,346,6.51
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,456,6.42
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,219,6.39
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,225,6.06
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,319,6.06
158.178.144.148,443,443,true,FRA,Europe,Frankfurt,259,6.02
141.147.115.6,443,443,true,FRA,Europe,Frankfurt,287,5.99
129.151.204.91,443,443,true,ARN,Europe,Stockholm,511,5.93
141.147.80.222,443,443,true,FRA,Europe,Frankfurt,268,5.92
158.180.82.203,8443,443,true,ICN,Asia Pacific,Seoul,175,5.74
129.154.46.115,443,443,true,HYD,Asia Pacific,Hyderabad,270,5.73
144.24.90.107,443,443,true,ICN,Asia Pacific,Seoul,216,5.70
150.230.196.248,443,443,true,NRT,Asia Pacific,Tokyo,231,5.64
152.70.69.199,443,443,true,HYD,Asia Pacific,Hyderabad,176,5.63
155.248.184.2,443,443,true,NRT,Asia Pacific,Tokyo,177,5.62
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,215,5.61
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,241,5.61
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,225,5.55
