IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
143.47.191.90,443,443,true,FRA,Europe,DE,Frankfurt,205,6.74
141.148.238.147,443,443,true,FRA,Europe,DE,Frankfurt,238,6.73
141.144.206.41,443,443,true,YYZ,North America,CA,Toronto,228,6.73
141.144.226.131,443,443,true,FRA,Europe,DE,Frankfurt,192,6.72
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,286,6.72
143.47.185.253,443,443,true,FRA,Europe,DE,Frankfurt,202,6.69
130.162.239.243,443,443,true,FRA,Europe,DE,Frankfurt,340,6.69
144.21.33.127,443,443,true,FRA,Europe,DE,Frankfurt,299,6.69
141.144.194.216,443,443,true,FRA,Europe,DE,Frankfurt,212,6.68
158.180.43.113,443,443,true,FRA,Europe,DE,Frankfurt,300,6.68
140.238.122.192,443,443,true,FRA,Europe,DE,Frankfurt,229,6.67
141.144.245.17,443,443,true,CDG,Europe,FR,Paris,250,6.66
84.8.159.75,443,443,true,FRA,Europe,DE,Frankfurt,261,6.66
141.148.230.88,443,443,true,FRA,Europe,DE,Frankfurt,257,6.65
141.147.119.218,443,443,true,FRA,Europe,DE,Frankfurt,318,6.65
130.162.237.248,443,443,true,FRA,Europe,DE,Frankfurt,348,6.64
141.147.54.207,443,443,true,FRA,Europe,DE,Frankfurt,277,6.64
141.144.242.48,443,443,true,SJC,North America,US,San Jose,247,6.62
158.101.201.8,443,443,true,FRA,Europe,DE,Frankfurt,351,6.62
84.8.157.11,443,443,true,FRA,Europe,DE,Frankfurt,291,6.57
79.72.80.35,443,443,true,FRA,Europe,DE,Frankfurt,206,6.55
141.147.94.255,443,443,true,FRA,Europe,DE,Frankfurt,330,6.55
84.8.148.193,443,443,true,CDG,Europe,FR,Paris,309,6.54
143.47.186.167,443,443,true,FRA,Europe,DE,Frankfurt,171,6.52
143.47.246.142,443,443,true,FRA,Europe,DE,Frankfurt,283,6.50
141.148.234.222,443,443,true,FRA,Europe,DE,Frankfurt,234,6.48
130.162.235.228,443,443,true,FRA,Europe,DE,Frankfurt,315,6.43
79.72.89.73,443,443,true,FRA,Europe,DE,Frankfurt,332,6.43
141.147.55.174,443,443,true,FRA,Europe,DE,Frankfurt,236,6.42
158.180.58.222,443,443,true,FRA,Europe,DE,Frankfurt,349,6.41
89.168.122.44,443,443,true,FRA,Europe,DE,Frankfurt,184,6.38
141.147.91.3,443,443,true,FRA,Europe,DE,Frankfurt,338,6.36
158.101.192.189,443,443,true,CDG,Europe,FR,Paris,334,6.36
141.147.32.11,443,443,true,FRA,Europe,DE,Frankfurt,218,6.35
158.101.220.203,443,443,true,FRA,Europe,DE,Frankfurt,346,6.34
144.21.49.236,443,443,true,FRA,Europe,DE,Frankfurt,262,6.33
79.76.108.26,443,443,true,FRA,Europe,DE,Frankfurt,262,6.33
141.147.105.224,443,443,true,FRA,Europe,DE,Frankfurt,330,6.32
132.145.54.84,8443,443,true,LHR,Europe,GB,London,227,6.32
152.70.155.147,443,443,true,LAX,North America,US,Los Angeles,308,6.31
84.8.146.94,443,443,true,AMS,Europe,NL,Amsterdam,320,6.30
130.162.250.180,8443,443,true,FRA,Europe,DE,Frankfurt,243,6.29
79.72.79.5,443,443,true,FRA,Europe,DE,Frankfurt,172,6.27
132.226.209.180,443,443,true,FRA,Europe,DE,Frankfurt,274,6.26
141.144.204.79,443,443,true,CDG,Europe,FR,Paris,233,6.26
144.21.36.232,443,443,true,FRA,Europe,DE,Frankfurt,193,6.25
130.162.189.85,443,443,true,FRA,Europe,DE,Frankfurt,245,6.24
138.2.132.9,443,443,true,CDG,Europe,FR,Paris,251,6.23
89.168.106.175,443,443,true,FRA,Europe,DE,Frankfurt,172,6.23
143.47.244.157,443,443,true,FRA,Europe,DE,Frankfurt,272,6.21
79.72.92.135,443,443,true,FRA,Europe,DE,Frankfurt,297,6.21
143.47.238.33,443,443,true,FRA,Europe,DE,Frankfurt,217,6.19
79.72.92.126,443,443,true,FRA,Europe,DE,Frankfurt,198,6.18
143.47.241.215,443,443,true,FRA,Europe,DE,Frankfurt,199,6.18
193.123.36.192,443,443,true,FRA,Europe,DE,Frankfurt,387,6.17
158.101.202.197,443,443,true,FRA,Europe,DE,Frankfurt,283,6.17
158.180.37.252,443,443,true,FRA,Europe,DE,Frankfurt,295,6.17
152.70.57.8,443,443,true,FRA,Europe,DE,Frankfurt,309,6.17
84.8.149.16,443,443,true,FRA,Europe,DE,Frankfurt,337,6.16
141.147.86.62,443,443,true,FRA,Europe,DE,Frankfurt,273,6.13
79.76.119.12,443,443,true,CDG,Europe,FR,Paris,329,6.11
